"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2004,8,"Kreis 8",1,"Verheiratetentarif",88,57.8,139.5
2004,8,"Kreis 8",2,"Einelternfamilientarif",48.8,30.3,72.4
2004,9,"Kreis 9",0,"Grundtarif",36.3,19.5,53.4
2004,9,"Kreis 9",1,"Verheiratetentarif",62.5,45.4,85.4
2004,9,"Kreis 9",2,"Einelternfamilientarif",36.55,21,52.2
2004,10,"Kreis 10",0,"Grundtarif",42,20.9,62.2
2004,10,"Kreis 10",1,"Verheiratetentarif",74.5,52.3,108.8
2004,10,"Kreis 10",2,"Einelternfamilientarif",42.7,25.8,60.5
2004,11,"Kreis 11",0,"Grundtarif",36,18.4,54.3
2004,11,"Kreis 11",1,"Verheiratetentarif",64.2,44.3,88.7
2004,11,"Kreis 11",2,"Einelternfamilientarif",36.75,18.9,53.7
2004,12,"Kreis 12",0,"Grundtarif",30.3,15.9,45
2004,12,"Kreis 12",1,"Verheiratetentarif",57.4,40.6,75.8
2004,12,"Kreis 12",2,"Einelternfamilientarif",31.65,16.35,45.15
2005,1,"Kreis 1",0,"Grundtarif",43.15,17.1,75.15
2005,1,"Kreis 1",1,"Verheiratetentarif",98.85,61.65,159.75
2005,1,"Kreis 1",2,"Einelternfamilientarif",49.18,32,85.1
2005,2,"Kreis 2",0,"Grundtarif",40.5,19.8,63.6
2005,2,"Kreis 2",1,"Verheiratetentarif",77.3,52.6,118
2005,2,"Kreis 2",2,"Einelternfamilientarif",43.1,23.95,68.65
2005,3,"Kreis 3",0,"Grundtarif",36.7,18.4,56.3
2005,3,"Kreis 3",1,"Verheiratetentarif",60.8,41.2,85.3
2005,3,"Kreis 3",2,"Einelternfamilientarif",37.7,19.5,54.6
2005,4,"Kreis 4",0,"Grundtarif",32.6,15.6,51.9
2005,4,"Kreis 4",1,"Verheiratetentarif",52.6,33.6,73
2005,4,"Kreis 4",2,"Einelternfamilientarif",30.4,11.8,47.1
2005,5,"Kreis 5",0,"Grundtarif",39.8,19.7,60.8
2005,5,"Kreis 5",1,"Verheiratetentarif",58.4,39.7,83.3
2005,5,"Kreis 5",2,"Einelternfamilientarif",39.9,24.1,54.9
2005,6,"Kreis 6",0,"Grundtarif",43,21.4,67
2005,6,"Kreis 6",1,"Verheiratetentarif",80.1,53.3,125.1
2005,6,"Kreis 6",2,"Einelternfamilientarif",44.1,25.7,67.1
